,Date,Title,Article
0,2019-01-18,Forex - U.S. Dollar Rises as Consumer Optimism Falls,"© Reuters.
Investing.com - The greenback picked up steam on Friday despite U.S. consumer optimism hitting its lowest level since Donald Trump was elected president and the government shutdown moving into its 28th day.
The dollar was supported by a stronger-than-expected report for U.S. industrial production in December, in which manufacturing posted an impressive 1.1% gain from November. Such positive surprises relieve some of the worries about the strength of the economy after the slowdown at the end of last year. They also underline the relative strength of the U.S. compared to the Euro zone, where the Bank of Italy warned Friday that the country may have slid into recession with a second straight decline in GDP in the fourth quarter of last year.
However, the negatives for dollar sentiment haven't gone away: Congress and Trump continue to struggle with their impasse over the budget and over 800,000 federal workers remain furloughed. The shutdown could have negative impacts on the economy, business leaders have warned this week as they presented their quarterly earnings.
The shutdown is clearly having an effect on U.S. consumers already: the University of Michigan's Consumer Survey Center that consumer sentiment plummeted to a two-year low of 90.7 in January from 98.3 a month earlier.
The , which measures the greenback’s strength against a basket of six major currencies, rose 0.17% to 95.875 as of 10:19 AM ET (15:19 GMT).
The dollar also continued to be supported by a Wall Street Journal report that U.S. Treasury Secretary Steven Mnuchin is in favor of easing tariffs on Chinese products. That sent U.S. stocks and the dollar higher late on Thursday, despite the Treasury Department denying the news.
Meanwhile, sterling retreated from its recent highs after weak retail sales data for December. decreased 0.51% to 1.2914. It's still holding to most of the gains made in recent weeks, as the risk of an economically harmful 'hard' Brexit appears to recede.
The yen, typically sought by investors as a safe haven during times of economic or market stress, was lower against the dollar, with rising 0.19% to 109.42.
Elsewhere, the euro dipped with falling 0.18% to 1.1374."
1,2019-01-18,Forex - Upbeat U.S. Data Can't Help Dollar as Sterling Reigns Supreme,"© Reuters.
Investing.com – The U.S. dollar little changed Thursday as mostly upbeat economic data was offset by strong rise in sterling on bets the U.K. will avoid leaving the EU without a trade deal.
The , which measures the greenback against a trade-weighted basket of six major currencies, rose by 0.08% to 95.76.
As U.K. Prime Minister Theresa May seeks cross-party consensus on a Brexit deal after her government won a vote of confidence on Wednesday, traders continue to bet on the UK securing a withdrawal deal, pushing the pound higher against the greenback.
The way forward on Brexit, however, is paved with uncertainty as Labor leader, Jeremy Corbyn, has refused to enter cross-party talks demanding May rule out a no-deal Brexit. That is a demand which May has stressed is “impossible.”
rose 0.76% to $1.2979.
The pound's strength kept a lid on gains in the greenback even as a key manufacturing report and labor data topped economists’ estimates.
The Philadelphia Fed said Thursday its rose to a reading of 17 in January from a revised 9.1 last month.
The U.S. Department of Labor reported Thursday that dropped by 3,000 to a seasonally adjusted 213,000, beating economists’ forecast for a drop to 216,000.
The upbeat regional manufacturing report comes a day after the Fed’s Beige Book – an economic report, based on anecdotal information collected by the Fed’s 12 reserve banks – highlighted concerns about manufacturing growth amid rising costs, trade and political uncertainty.
Elsewhere, fell 0.14% $1.1381, while rose 0.34% to C$1.3299 as falling oil prices weighed on the loonie, supporting gains in the pair.
fell 0.02% to Y109.06."
2,2019-01-17,Forex - U.S. Dollar Remains Steady as Jobless Claims at 5-Week Low,"© Reuters.
Investing.com - The greenback was steady on Thursday as jobless claims data showed the government shutdown has yet to have an impact on jobs.
The number of people who filed for unemployment assistance in the U.S. hit its lowest level in five weeks, despite 27 days of a government shutdown which has furloughed 800,000 federal workers.
The , which measures the greenback’s strength against a basket of six major currencies, rose 0.11% to 95.77 as of 10:16 AM ET (15:16 GMT). The currency remain subdued after recent comments by Federal Reserve officials suggesting further interest rates are unlikely in the next few months.
The Fed will hold its next policy-setting meeting on Jan. 29-30.
The loonie was lower against the dollar, with rising 0.3% to 1.3294, as analysts expect the Bank of Canada to delay interest rate hikes until April, Reuters reported.
""The Fed's on hold, and Canada and the U.S. really don't have any meaningful inflation pressure. There is just no rush for the Bank to be really more aggressive with rates and that's what they have signaled,"" said Benjamin Reitzes, Canadian rates and macro strategist at BMO Capital Markets.
The yen, typically sought by investors as a safe haven during times of economic or market stress, was a touch lower against the dollar, with slipping 0.13% to 108.92.
Meanwhile sterling was a touch higher after U.K. Prime Minister Theresa May survived a vote of no confidence in her government. was up 0.2% to 1.2905.
The euro dipped, with falling 0.08% to 1.1387."
3,2019-01-17,Forex - Dollar Pushes Higher; Pound Slips as Risk Sentiment Pressured,"© Reuters.
Investing.com - The U.S. dollar pushed higher against a basket of its key rivals on Thursday, building on its recent strong gains, while the pound slipped amid softer risk sentiment.
The , which measures the greenback’s strength against a basket of six major currencies, was up 0.14% at 95.80 by 03:54 AM ET (08:54 AM GMT), after gaining about 1% over the previous five sessions.
Market sentiment remained subdued amid concerns that the is beginning to take a toll on the economy, while investors awaited more cues from the Federal Reserve after a growing number of its officials expressed caution about further rate hikes.
“There’s a lot of speculation that we’ve seen the end to the rate-hike cycle and many people are even talking about rate cuts this year,” said Bart Wakabayashi, Tokyo branch manager at State Street Bank.
“The immediate (impact) is going to be the messaging from the Fed plus, of course, their action,” he said. “If we’re assuming that the market is still long dollars, any sort of change in that is going to have a pretty lasting effect.”
The Fed will hold its next policy-setting meeting on Jan. 29-30.
Businesses across the U.S. have become less optimistic in recent months, the Fed said on Wednesday in a report on the economy that supports Chair Jerome Powell’s pivot to more “patience” on interest rate hikes.
The yen, typically sought by investors as a safe haven during times of economic or market stress, gained ground against the greenback, with down 0.28% at 108.76.
The euro edged lower against the U.S. currency, with dipping 0.11% to 1.1386 as weighed.
Data this week showed Germany barely avoided slipping into recession in 2018’s second half, and European Central Bank head Mario Draghi warned on Tuesday that economic developments in the euro zone have been weaker than expected.
The pound was also weaker against the dollar, with down 0.18% to 1.2857 as uncertainty over Brexit rumbled on. Sterling was a touch lower against the euro, with inching up 0.14% to 0.8856.
As expected, British Prime Minister Theresa May narrowly won a confidence vote overnight and invited other party leaders for talks to try to break the impasse on a Brexit withdrawal deal after the proposal she presented was voted down by lawmakers on Tuesday.
An outline for is due by Monday and the market assumes there will have to be an extension of the Article 50 exit date past March 29.
""Nothing has happened in the last 24 hours to dissuade us from the view that we are headed in the direction of an Article 50 delay, a softer Brexit or no Brexit,"" said Ray Attrill, head of FX strategy at NAB.
Wakabayashi of State Street Bank said that on the euro and sterling, “I don’t really see why you would responsibly be heavily positioned either way when you’ve this unknown Brexit.”
“I wouldn’t be overexposed either way when there’s such a large question mark,” he said.
-- Reuters contributed to this report."
4,2019-01-17,World stocks rise; sterling up ahead of May vote,"© Reuters. A trader works on the floor at the New York Stock Exchange (NYSE) in New York City, New York
By Caroline Valetkevitch
NEW YORK (Reuters) - Major world stock indexes rose on Wednesday, with the S&P 500 supported by gains in U.S. bank stocks after strong earnings, while the pound edged up ahead of a no-confidence vote in British Prime Minister Theresa May's government.
Investors saw potential for legislative deadlock forcing London to delay its departure from the European Union following the parliamentary defeat of May's Brexit deal late Tuesday. The no confidence vote is expected at 1900 GMT.
May is expected to survive the vote, sponsored by the main opposition Labour Party. Expectations of a softer Brexit - perhaps incorporating the Labour Party's idea of membership of a permanent customs union - gave support to the pound.
Sterling was last trading at $1.2868, up 0.08 percent on the day.
Stocks had mostly priced in the Brexit vote's defeat and were trading higher. The pan-European STOXX 600 index ( ) rose 0.52 percent and MSCI's gauge of stocks across the globe ( ) gained 0.28 percent.
On Wall Street, strong earnings from Bank of America (N: ) and Goldman Sachs (N: ) as well as a multibillion-dollar deal in the fintech sector kept stocks in positive territory.
""The fact that JPMorgan (NYSE: ) and Citi laid the groundwork for bank earnings not being as bad as markets thought made it easier for Goldman and Bank of America,"" said Michael Antonelli, managing director, institutional sales trading at Robert W. Baird in Milwaukee.
The Dow Jones Industrial Average ( ) rose 149.65 points, or 0.62 percent, to 24,215.24, the S&P 500 ( ) gained 10.4 points, or 0.40 percent, to 2,620.7 and the Nasdaq Composite ( ) added 33.52 points, or 0.48 percent, to 7,057.35.
The dollar rose against the euro as the euro zone single currency was pushed lower by worries about the zone's economy, with the euro ( ) down 0.11 percent to $1.1402.
Earlier this week, data showed Germany barely escaped a recession in the second half of 2018 and European Central Bank chief Mario Draghi warned on Tuesday the euro zone economy was weaker than anticipated.
In sovereign debt markets, British government bonds underperformed versus German peers in early trade.
U.S. Treasury yields rose as stronger-than-forecast results from two major banks lifted Wall Street, reducing safe-haven demand for U.S. government debt.
Benchmark 10-year notes ( ) last fell 6/32 in price to yield 2.7272 percent, from 2.708 percent late on Tuesday.
Oil prices eased after climbing about 3 percent in the previous session, with worries about the global economy and forecasts of swelling U.S. production hurting sentiment.
Brent crude futures ( ) were last down 19 cents or 0.31 percent at $60.45 a barrel.
U.S. crude ( ) was last down 35 cents, or 0.67 percent, at $51.76 per barrel.
(Graphic: Global currencies vs. dollar - http://tmsnrt.rs/2egbfVh)
(Graphic: Global assets in 2018 - http://tmsnrt.rs/2jvdmXl)
(Graphic: Emerging markets in 2018 - http://tmsnrt.rs/2ihRugV)"
5,2019-01-16,"Forex - Sterling Rebounds on ""Diminished"" Brexit Risk; Dollar Flat","© Reuters.
Investing.com - The pound steadied on Wednesday after having fallen late Tuesday when the U.K. parliament overwhelmingly voted down Prime Minister Theresa May's Brexit deal. The U.S. dollar, meanwhile, was generally flat.
was up 0.17% to 1.2865 as of 11:07 AM ET (16:07 PM GMT), after falling as low as 1.2667 late Tuesday.
The House of Commons voted 432-202 against May's deal, leaving uncertainty over the future of the country's plans to leave the EU on March 29. It seems likely that the U.K. will seek an extension of the deadline. Bank of England Governor Mark Carney said the rebound suggested markets now see a ""diminished"" risk of a disorderly Brexit with no transitional arrangements.
Meanwhile the euro dipped, with falling 0.10% to 1.1401.
The yen, typically sought by investors as a safe haven during times of economic or market stress, was a touch lower against the dollar, with rising 0.03% to 108.68.
The , which measures the greenback’s strength against a basket of six major currencies, was down 0.04% to 95.63.
The greenback remained on the back foot after U.S. Trade Representative Robert Lighthizer that he did not see any progress made on structural issues during U.S. talks with China last week.
The dollar was also pressured by comments by senior Federal Reserve officials on Tuesday suggesting that they are in no hurry to raise interest rates further against a backdrop of slowing global growth.
The risk sensitive Australian and New Zealand dollars were lower, with falling 0.18% to 0.7186 and slumping 0.45% to 0.6782."
6,2019-01-16,Forex - Pound Settles after Brexit Vote Defeat; Dollar Edges Lower,"© Reuters.
Investing.com - The pound firmed up on Wednesday following a plunge overnight when the UK parliament overwhelmingly voted down Prime Minister Theresa May's Brexit deal, adding to uncertainties surrounding the UK’s withdrawal from the European Union.
was at 1.2862 by 03:54 AM ET (08:54 AM GMT) after falling as low as 1.2667 late Tuesday.
The parliament on Tuesday voted 432-202 against May's deal, for a government in recent British history.
Sterling had sunk more than 1% against the dollar in the wake of the vote, before rebounding as the sizable defeat for May was seen . Those options could still lead to radically different outcomes, ranging from another referendum that ultimately cancels Brexit to political upheaval that leads to a disorderly one.
""While the margin of May's loss was a surprise, the defeat itself was something the market had been pricing in for a long time and it appears that participants covered shorts in the pound after the vote,"" said Yukio Ishizuki, senior currency strategist at Daiwa Securities.
""The market is now factoring in the March Brexit deadline being extended. In the longer run it may boil down to two scenarios - a no-deal Brexit or no Brexit at all.""
The deadline for Brexit is March 29, but with the clock ticking down quickly, it now appears more likely that the U.K. will seek an extension of the deadline.
Sterling was little changed against the euro, with at 0.8874.
The single currency was holding steady against the U.S. currency, with changing hands at 1.1419.
The yen, typically sought by investors as a safe haven during times of economic or market stress, was a touch higher against the dollar, with dipping 0.12% to 108.53.
The , which measures the greenback’s strength against a basket of six major currencies, was down 0.18% to 95.50.
The greenback remained on the back foot after U.S. Trade Representative Robert Lighthizer that he did not see any progress made on structural issues during U.S. talks with China last week.
Investors ""are mainly focused on the outcome of the U.S.-China trade negotiations, but it may take more than a month before it will become clear,"" said Ayako Sera, market strategist at Sumitomo Mitsui Trust Bank.
""It's hard for market sentiment to turn one way or the other, whether a recovery or decline, as long as it remains unclear what outcome there will be.""
The dollar was also pressured by diminishing expectations the Federal Reserve will continue raising rates this year due to weakness in global growth.
Kansas City Fed President Esther George on Tuesday made the case for on interest rate hikes to avoid choking off growth.
Her comments echoed those of Dallas Fed head Robert Kaplan, who said Tuesday the U.S. central bank before raising interest rates again, and should take advantage of it.
Kaplan and George are the latest Fed officials to join a growing consensus to leave rates on hold until a varied set of economic risks resolve.
-- Reuters contributed to this report."
7,2019-01-16,Forex - Dollar Rides Sterling's Slump Higher as Brexit Vote Looms,"© Reuters.
Investing.com – The dollar traded higher against a basket of major currencies Tuesday despite mostly negative U.S. data as a plunge in sterling ahead of a key vote on the UK's withdrawal agreement supported sentiment.
The , which measures the greenback’s strength against a trade-weighted basket of six major currencies, gained 0.68% to 95.85.
Traders reined in their bullish bets on sterling ahead of the U.K. Parliament vote, which got underway at 2.00 pm ET, on British Prime Theresa May's Brexit deal, widely expected to be voted down.
Ahead of the vote, MUFG strategist Lee Hardman said investors will be focused on the magnitude of the defeat, with expectations in range of 100-200 votes.
fell 1.08% to $1.2725.
Weakness helped the dollar sidestep weak U.S. economic growth, including falling wholesale inflation, which did little to dent investor expectations that the Federal Reserve was set to take a more dovish stance on monetary policy tightening.
The Labor Department said on Tuesday its for final demand fell 0.2% last month, pressuring the PPI for the 12 months through December, to 2.7%, below forecasts for a 2.9% rise.
The fell to a reading of 3.9 in January, missing economists' forecasts of 10.75, the New York Federal Reserve said Tuesday.
The euro, meanwhile, was pressured by dovish remarks from European Central Bank Mario Draghi, who continued to call for monetary policy easing amid concerns about slowing global growth.
fell 0.78% $1.1386.
rose 0.39% to Y108.59 as the safe-haven yen was shunned following a risk-on session in Asia overnight as China signalled fresh stimulus measures in the near-term.
fell 0.02% to C$1.3289 as rising oil prices underpinned the loonie, keeping a lid on gains in the pair.
-- Reuters also contributed to this report."
8,2019-01-15,Forex - U.S. Dollar Rises After Weak German Data,"© Reuters.
Investing.com - The greenback rose on Tuesday, while the euro was lower as data showed that Germany’s economy slowed in 2018 and investors were waiting for the results on the parliamentary vote on the UK’s withdrawal from the European Union.
Growth in the slowed to 1.5% in 2018, the slowest rate of growth in five years. The data added worry over slowing global growth due to trade war disputes with the U.S.
slipped 0.67% to 1.1397 as of 11:26 AM ET (16:26 GMT).
The , which measures the greenback’s strength against a basket of six major currencies, jumped 0.56% to 95.73, while rose 0.37% to 108.56.
The dollar was also boosted after news that China would inplement more stimulus measures in response to an unexpected fall in the country's exports in December. The measures should help ease investor worries over slowing global growth.
Still, the dollar has fallen in recent weeks, as investors expect the Federal Reserve to pause its rate of monetary tightening this year.
Sterling was lower, as UK Prime Minister Theresa May’s Brexit deal is largely expected to lose a parliamentary vote later in the day. The prospect of a no-deal Brexit is increasing, as the UK is expected to leave the bloc on March 29. fell 0.78% to 1.2763.
The risk sensitive Australian and New Zealand dollars were flat, with falling 0.03% to 0.7191 and down 0.04% to 0.6815."
9,2019-01-15,"Forex- Dollar Dips on Rate View, Pound Rises ahead of Brexit Vote","© Reuters.
Investing.com - The U.S. dollar dipped against a currency basket on Tuesday amid expectations the Federal Reserve will hold off on raising rates this year due to weakness in global growth, while the pound crept higher before Britain's parliamentary vote on its Brexit deal.
Fears of a sharp global slowdown this year have risen in recent weeks, as the effect of last year's U.S. tax cuts is set to fade and the trade war with China is set to escalate. That may at least slow the pace at which the Fed tightens monetary policy, or even stop it altogether.
Interest rate futures markets are pricing in no further U.S. rate hikes in 2019.
The futures contract on the , which measures the greenback’s strength against a basket of six major currencies, was at 95.21 by 03:06 AM ET (08:06 AM GMT) after edging down to 95.06 overnight. It had hit a three-month low of 94.79 last week.
""There is a strong dislike for the dollar given Fed expectations, but at the same time there is not a compelling replacement,"" said Sim Moh Siong, currency strategist at Bank of Singapore. ""Over the next 6-12 months, the dollar should trend lower.""
Fed Chairman Jerome Powell said last week the U.S. central bank has the ability to be patient on monetary policy given that inflation remains stable.
The pound briefly rose back above the 1.29 level ahead of a vote on the government’s Brexit deal with the EU in the British parliament.
was up 0.17% to 1.2881 after rising as high as 1.2916 earlier, while slipped 0.13% to 0.8902.
British Prime Minister Theresa May must win a vote in parliament later on Tuesday to get her Brexit deal approved or risk a chaotic exit for Britain from the European Union. The numbers are not in May's favor and her chances of winning the vote look extremely slim. May needs to secure 318 votes to win.
""Interestingly, speculators have been betting that this outcome could lead to a possible delay to Brexit from 29 March to July (after the EU Parliament elections in May) to allow for fresh elections or a second referendum,"" Philip Wee, currency strategist at DBS, said in a note.
But other analysts expect the pound will take a major beating if May loses the vote by a wide margin.
""Losing by 100 or more votes is a major defeat but there's some talk that she could lose by 200 votes. A major loss will lead to a knee jerk decline in GBP that could take GBP/USD below 1.25 and EUR/GBP above 91 cents,"" said Kathy Lien, managing director of currency strategy at BK Asset Management in a note.
The euro was holding steady against the U.S. currency, with changing hands at 1.1469.
Elsewhere, the Australian and New Zealand dollars, both considered proxies for global risk appetite, strengthened, having recovered from Monday's lows.
Sentiment was aided by a fresh round of commitments from Chinese policymakers to stimulate their economy though fiscal and monetary steps.
was up 0.31% to 0.7261, while added on 0.32% to trade at 0.6840.
The Aussie dollar has stabilized above the $0.72 level and most analysts think it points to Chinese growth likely bottoming out in the next few quarters. Given the sharp slowdown in economic activity and the negative impact of the U.S.-Sino trade dispute on the Chinese economy, analysts are hopeful that leaders of the two countries will reach a comprehensive trade deal in the coming weeks.
Trade tensions between the world's two largest economies had rattled financial markets for most of last year.
-- Reuters contributed to this report."
